id,name,list_code
__export__.institute_list_127, Qurtaba University of Science and Information Technology,126
__export__.institute_list_128, Rashid Latif Medical College,127
__export__.institute_list_129, Rawalpindi Medical College,128
__export__.institute_list_130, Riphah International University,129
__export__.institute_list_131, Saidu Medical College,130
__export__.institute_list_132, Sardar Bahadur Khan Women University,131
__export__.institute_list_133, Sargodha Medical College,132
__export__.institute_list_134, Sarhad University of Science & Information Technology,133
__export__.institute_list_135, SEECS,134
__export__.institute_list_136, Services Institute of Medical Sciences,135
__export__.institute_list_137, Shah Abdul Latif University,136
__export__.institute_list_138, Shaheed Zulfikar Ali Bhutto Institute of Science & Technology (SZABIST),137
__export__.institute_list_139, Shaikh Khalifa Bin Zayed Al-Nahyan Medical and Dental College,138
__export__.institute_list_140, Shaikh Zayed Medical College,139
__export__.institute_list_141, Shalamar Medical and Dental College,140
__export__.institute_list_142, Sharif Medical and Dental College,141
__export__.institute_list_143, Shifa College of Medicine,142
__export__.institute_list_144, Sindh Agriculture University,143
__export__.institute_list_145, Sindh Medical College,144
__export__.institute_list_146, Sir Syed College of Medical Sciences,145
__export__.institute_list_147, Sir Syed University Of Engg. & Technology Karachi.,146
__export__.institute_list_148, Sukkur Institute of Business Administration,147
__export__.institute_list_149, Textile Institute of Pakistan,148
__export__.institute_list_150, The Superior College,149
__export__.institute_list_151, University College of Medicine and Dentistry,150
__export__.institute_list_152, University Medical and Dental College,151
__export__.institute_list_153, University of Agriculture,152
__export__.institute_list_154," University of Arid Agriculture, Murree Road",153
__export__.institute_list_155, University of Azad Jammu and Kashmir (AJK),154
__export__.institute_list_156, University of Balochistan,155
__export__.institute_list_157, University of Central Punjab (UCP),156
__export__.institute_list_158, University of East,157
__export__.institute_list_159, University of Education,158
__export__.institute_list_160," University of Engineering & Technology, Lahore",159
__export__.institute_list_161," University Of Engineering & Technology, Taxila",160
__export__.institute_list_162, University of Faisalabad,161
__export__.institute_list_163, University of Gujrat,162
__export__.institute_list_164, University of Health Sciences,163
__export__.institute_list_165, University of Karachi,164
__export__.institute_list_166, University of Lahore,165
__export__.institute_list_167, University of Malakand,166
__export__.institute_list_168, University of Management & Technology (UMT),167
__export__.institute_list_169, University of Peshawar,168
__export__.institute_list_170, University of Sargodha,169
__export__.institute_list_171, University of Science & Technology Bannu,170
__export__.institute_list_172, University of Sindh,171
__export__.institute_list_173, University of South Asia,172
__export__.institute_list_174, University of Swabi,173
__export__.institute_list_175, University of the Punjab,174
__export__.institute_list_176, University of Veterinary and Animal Sciences,175
__export__.institute_list_177, Usman Institute of Technology (UIT),176
__export__.institute_list_178, Virtual University of Pakistan,177
__export__.institute_list_179, Wah Medical College,178
__export__.institute_list_180, Women Medical College,179
__export__.institute_list_181, Yusra Medical and Dental College,180
__export__.institute_list_182, Ziauddin Medical University,181
